Height,Weight,BodyFat,ExerciseWeight
184,118.3,23.5,142.5
152.3,101.5,30,82.5
199.6,100.8,19.1,130
183.9,77.5,16.5,80
173.5,76.8,25.8,62.5
176.1,57.9,13.3,42.5
184.9,94.3,20.1,105
178.8,118.2,25.6,137.5
159.7,65.6,18.2,37.5
200.6,74.3,17.9,87.5
178.9,83.6,15.5,87.5
190.2,81,18.8,87.5
173.1,83.2,19.1,77.5
195.4,106.4,11.9,142.5
182.9,50,15.6,32.5
186.1,102.8,28.1,115
169.5,101.5,21.1,105
192.1,74,22.2,75
186.9,79.7,21.4,82.5
193,85.9,24.4,95
173.7,61.7,19,42.5
175.2,81,16.9,77.5
203,61.6,16.2,70
169.4,88.1,12.7,87.5
178.6,60.3,12.8,50
191.4,73.9,10,85
181,85.5,22.1,85
185.8,93.6,24.8,102.5
176,82.7,21.1,77.5
183.7,50,27.3,22.5
166.9,100.9,13.6,107.5
196.6,50,23.3,37.5
178.8,85.7,22.8,82.5
173.2,88.9,25.7,82.5
186.7,134.2,20.7,150
175.4,80.6,18.9,75
166.7,80.5,19.3,67.5
166.5,107.7,19.9,112.5
186.9,75.8,27.5,70
178.4,90.5,27.7,87.5
178.7,78.1,14.3,77.5
190.8,50.9,19.5,37.5
168.7,112.1,20.5,122.5
172.7,71.8,19.7,57.5
176.2,64,24.8,42.5
180.9,70.3,18.6,62.5
179.6,94.2,24.9,97.5
177.1,122.6,11.3,150
179.4,79.5,26.2,70
178.9,74.7,16.2,70
172.8,69.5,27.8,47.5
171.9,76.9,10.9,72.5
182.7,97.2,25.7,105
171.1,82.9,23,72.5
168.4,103.9,23.2,105
176.9,71.9,15.9,65
178.4,57.3,10,45
202.6,76.3,27.6,85
173,77.7,17.3,70
189.4,82.9,20.8,90
187.5,67.5,21.6,60
168.1,56.9,24.6,25
187.7,65.9,24.5,55
168.2,91.4,26.1,82.5
153.4,85.8,16,67.5
186.1,83.5,17.1,90
162.4,91.6,18.8,82.5
184.5,69.7,23.8,60
173.2,80.3,13.4,77.5
196.6,98.2,21.1,122.5
190.7,77.8,27.3,77.5
175.5,126.5,16.7,150
173.1,56.4,12.8,37.5
167.9,106.7,22.2,110
175.6,91.6,17.7,95
177.2,85.8,22.9,82.5
176.4,89.2,10,97.5
181.6,77.4,23.4,72.5
185.8,80.1,29.5,75
183.5,90.6,22.1,97.5
172.4,65.2,21.9,45
165.6,113,18.2,122.5
193.6,97.7,21.3,117.5
173.1,105.4,27.1,107.5
173.5,109.9,21.9,120
174.8,81.4,24.7,72.5
161.6,98.2,20.8,92.5
175.2,81.9,21.6,75
175.2,59,20.4,37.5
186.2,95.7,15.5,112.5
187,84.4,12.3,97.5
180,96.3,21.5,105
189.3,81.3,17.1,90
183.4,82,19.8,85
179.8,109.9,15.3,132.5
181.6,87.6,13.7,97.5
178.1,73.6,12.5,70
176.1,112.5,22.1,127.5
177.3,89.3,13.2,97.5
168.7,87,19.5,80
182.8,85.7,20.9,87.5
170.1,81.8,18.4,72.5
188.4,80.2,12.9,90
177.5,102.8,22.9,112.5
180.5,75.9,25.6,65
184.9,82.9,12.9,92.5
186.4,76.8,16.6,80
164.3,57.6,21.9,25
177.9,81.1,18.7,77.5
188.8,81.9,25.9,82.5
163,83.8,25.3,65
183.9,75.1,21.7,70
157.4,101.5,11,102.5
169.8,95.5,25.1,90
180.4,50,17.6,27.5
163.4,52.2,26.6,20
170.1,116.3,14.1,135
165.3,53.1,22.6,20
196.5,76.2,24,82.5
181.6,74.9,20,70
185.7,71.3,24.1,65
177.8,69.9,21.6,57.5
176.5,56.1,15,37.5
163.8,97.8,21.9,92.5
177.1,107.6,15.4,125
172.4,63.9,27.4,37.5
188.6,92.6,27.6,100
191.4,50.9,20.4,37.5
194.7,75.2,15.2,85
188.5,57.5,19.2,47.5
174,63.1,21.2,42.5
168.8,67.8,15.3,50
187.7,73.6,27.6,67.5
183.6,115.8,17.1,142.5
162.3,74.1,19.2,52.5
183.6,58,20.4,42.5
188.1,79.4,21.6,82.5
180.6,110.4,13.9,135
178.1,88.8,30,82.5
171.9,78.6,15.5,72.5
165.5,55.6,15.1,27.5
188,56.9,18,47.5
176.9,69.7,22.2,55
177.7,90.2,14.4,97.5
197.3,50,26.2,35
186.8,92.8,22.5,102.5
183.7,104.5,21.1,120
181.4,69,23.5,57.5
195.2,90.8,12.2,115
197.2,99.1,25,120
189.3,57,26.1,40
185.8,89.2,18.5,100
159.1,86.5,23.2,67.5
181.2,50,20.6,27.5
178.7,81.1,17.4,80
180.9,99.9,23.7,110
189.4,50,23.4,32.5
152.6,73.9,27.3,37.5
174.3,74.6,23.8,60
182.7,62.2,20.8,47.5
175.3,78.1,19.3,70
165.8,91.2,24.3,80
188.7,94.9,25.4,105
182.8,67.7,20.4,57.5
170.3,109.2,30,110
183.1,70.2,22.1,62.5
188.2,50,17.1,35
180.1,98.6,24.1,105
188,73.3,18.1,75
180.8,74.2,25.5,62.5
176,85,17.5,85
168.4,63.3,20.7,37.5
179.1,101.4,26.3,107.5
181.9,62.5,24.1,45
188.8,97.6,19.5,115
178.8,71.2,28.6,55
184.6,51,18,32.5
170.4,86.4,19.6,80
172.2,66.7,24.4,45
178.9,79.9,26.3,70
169.5,85.2,24.9,72.5
188.2,52,25,32.5
184.6,80.4,18.8,82.5
182.8,73.7,21.4,67.5
183.4,108.2,27.2,122.5
200.2,62.8,22.8,62.5
175.3,87.6,14.9,90
158,90.2,29.5,67.5
182,91.6,15.5,102.5
179.5,64.1,18.1,52.5
174.8,58.4,30,27.5
170.2,69.1,21.7,50
175.6,51.2,21.2,22.5
181.8,98.7,14.1,115
175,67.5,24.2,47.5
204.1,65.3,21.3,72.5
170.4,114.7,22.1,127.5
172.1,65.9,17.5,50
157.1,62.8,22.9,25
182.5,85.6,15.8,92.5
159.8,116.6,22.4,120
174.6,53,13.8,32.5
177.2,83.4,16.4,85
172.9,113.2,23.1,125
197.4,50.5,21.5,40
189.9,84.8,20.8,92.5
193.2,78.2,19,87.5
171.2,97.1,22.1,97.5
191.3,56.8,20.6,47.5
185,78.7,21.2,77.5
187.7,84.3,30,82.5
190.3,50,24.9,30
170.9,80.1,28,62.5
175.8,75.1,20.5,65
188.6,114.8,15.7,147.5
153.4,85.2,18.7,65
195.1,92.3,22.6,110
185.5,66.3,24.9,55
179.5,72.1,18.4,65
182.2,89.9,24.4,92.5
169.7,71.7,17.7,57.5
176.5,50,21,22.5
191,90.7,16.4,107.5
193,71.1,12.6,80
207,59.7,26.3,60
179.3,112.4,16.7,135
173.4,117.8,16.7,140
174.9,108.7,11.3,130
169.8,89.9,21.3,85
179.2,86.1,25.4,82.5
183.8,92.1,22.8,100
179.7,93,25.5,95
191,75.9,16.4,82.5
177.7,89.6,12.8,97.5
176.5,96.8,15.7,107.5
174.2,113.4,22.7,127.5
163.7,62.9,15,37.5
164.3,70,23.5,45
168.2,78.4,15.6,67.5
193,132.4,10,150
189,80.3,10,95
193.7,96.1,18,117.5
166.7,118.4,21.2,130
160.3,92.1,13.6,87.5
173.4,50,15.9,25
181.8,50,19.6,27.5
185,104.3,20.6,122.5
190.5,79,14.6,90
182.8,93.4,12.5,110
197.4,50,15.6,45
177.8,84.8,12,90
170.9,76.7,19.1,65
163.2,89.7,14.8,85
171.1,113.3,20.1,127.5
182.4,65.6,23.8,52.5
171.1,50,24.9,20
189.4,114.7,20,145
194.1,69.3,18.6,72.5
156.3,78.5,19,55
188.6,74.1,21.6,72.5
157.6,50.5,21.9,20
184,89.7,17.5,100
192.2,87.4,23.7,97.5
180.6,99.6,20.5,110
167.2,91.3,21.2,85
174.1,79,15.2,75
177.4,86.1,22.4,82.5
178.2,99.5,14.5,112.5
178,75.9,13.4,75
178.9,81.2,19.9,77.5
182.1,79.5,19.5,77.5
167.9,89.1,20.8,82.5
177.6,65,19.8,50
195.2,88.8,22.7,102.5
176.2,111.5,25.4,122.5
175.6,105.3,21.5,115
190.8,91.3,24.6,102.5
154.4,110.6,13.4,112.5
191.8,80.3,17.8,90
173.7,63.4,17.7,45
181.6,79,14.3,82.5
181,71.5,15.9,67.5
189.4,104.7,15.7,130
177.3,81.7,30,70
173.2,88.5,15,90
193,81.4,24.2,87.5
156.4,78.1,21.3,52.5
180.2,69,24.1,55
166.5,69.3,15.4,52.5
172.4,69.9,14.9,57.5
200.1,82.2,15.1,102.5
179.6,57.4,14.8,42.5
182,65.3,16.6,57.5
162.2,97.9,12.8,100
172.7,66.7,23.8,45
182,89.1,23,92.5
183.5,67.2,19.3,60
186.2,73.9,23.1,70
180.1,56,24,32.5
185.3,69.9,25.4,60
184.5,91.6,30,92.5
161.7,99.4,19.3,95
180.4,68,10.9,65
187.7,80.3,30,75
185.9,50,22.7,30
176.4,50,16.3,27.5
171.9,104.9,12.4,120
168.8,50,17.3,20
178.7,52.5,12.3,35
191.3,83.6,21.5,92.5
160.5,105.5,14.4,110
173.4,67,30,40
168.6,130.9,17.7,150
187.8,53.2,10.8,45
174.5,83.9,19.2,80
175.3,114.7,20.3,132.5
177.8,82.8,17.6,82.5
184.5,75.7,29,65
176.1,108.7,26.7,117.5
149.5,56.7,25.7,20
185.4,125.6,18.4,150
184.4,94.5,29,97.5
177.8,50,18.9,25
169.2,50,18.3,20
183.5,105,17.4,125
183.8,65.9,26.5,50
175.3,89.1,16.1,92.5
177.8,100.2,14.7,115
170.7,92.6,18.9,92.5
178.2,74.9,20.5,67.5
164.5,96.2,10.9,100
184.2,99.9,23.7,112.5
170.6,65.8,23.5,42.5
182.4,129.6,24.9,150
165.9,77.9,23.2,60
174.1,109.3,27.4,115
178.9,57,20.4,37.5
163.4,125.6,22.5,137.5
181.2,84,25.3,80
176.2,50,23.5,20
162.6,89.2,24.4,75
167,70.9,15.1,55
186.1,73.9,21.1,70
189,92.5,17.2,107.5
178.7,60.1,22.1,40
184,83.7,26,82.5
182.2,84,30,77.5
183.3,107.9,24.4,125
192.9,50,17,40
164.9,50,16.3,20
186.8,73,14.8,75
176.2,83.2,24.6,75
177.8,91.8,17.2,97.5
177,94,19.5,100
176.2,71.8,19.3,60
167.7,82.1,20.3,70
181.8,110.7,24.9,127.5
196.7,55.6,21.5,50
179.4,77.2,24.6,67.5
180,72.5,17.7,67.5
173.1,59.2,21.4,35
178.8,77.9,18.7,75
184.7,50,18.4,32.5
176.3,93.8,15.9,100
175.5,80.9,19.5,75
184,120.5,27.3,142.5
170.8,116.8,27.1,125
182.5,69.4,17.9,62.5
188.2,116.1,10.7,150
193.6,60.2,21.4,55
179.1,64.3,17.5,52.5
193.7,60.8,10.9,65
190.3,111.1,21,137.5
170,79.9,12.1,75
167.8,112,21.2,120
177,77.1,15,75
190.3,104.3,18.8,127.5
179.3,88.7,20,92.5
174,80.6,20.4,72.5
195.5,94.6,10,125
182.9,68.6,27.9,52.5
156.8,76.3,17.1,55
183.2,78.2,27.5,70
185.2,89,15.3,100
182.3,109.3,19.8,130
184.5,75,18.9,72.5
179.3,89.3,19.5,92.5
166.8,108.9,19.1,115
176.3,50,22.9,20
170.5,87.7,14.2,87.5
170.7,50,21.6,20
167.4,113.7,10,132.5
184.5,95,19.8,107.5
181,100.3,20.7,112.5
175.5,75,18.1,67.5
173.5,95.2,26.1,92.5
179.8,91.5,28,90
190.8,104.7,22,127.5
160,98,25.3,87.5
183.8,105.9,20.5,125
174.5,66.9,24.9,45
161.2,109.3,22.6,110
160.5,95.7,14.9,92.5
170.9,87.5,20.8,82.5
182.2,92.4,24.6,97.5
183.9,86.5,17.8,92.5
170.6,72.6,30,47.5
190.2,79.5,11.2,92.5
194.2,75.2,15.8,85
184,65.1,26.9,50
174.1,92.5,12.6,100
191.2,123.7,19.7,150
187.6,102.4,17.5,125
188.7,120,20.7,150
173.4,50,21.5,20
151.7,79.6,25.4,47.5
201.2,63.8,15.8,72.5
163.9,99,10,105
179.6,58.5,19.8,40
203.8,99.8,19.6,132.5
183.3,109.5,18.9,130
189.5,82.3,20.7,87.5
165,87.5,22.1,75
162.2,70,20.4,45
174.7,93.7,21.4,95
190.9,86.4,17.7,100
176.5,84.9,19.8,82.5
172.1,63.9,18.3,45
182,84.6,22.2,85
190.8,66.9,18.7,65
165.6,117.6,17.8,130
167.9,65.4,10,50
172.1,90.5,24.6,85
190.9,87.4,20.8,97.5
182.3,95.4,20.3,105
201.3,94.6,13.4,125
189.4,50,20.5,35
179.6,52.9,17.3,32.5
192.7,61,17.3,57.5
182.1,94.5,19.4,105
173,75,25.1,57.5
186.8,73.3,16,75
173,77.9,10,77.5
177.1,50,23.9,20
193.3,78.9,17.8,87.5
179,104.5,23.2,115
172,50,13,25
175.4,54.3,16.7,32.5
190.2,102,30,115
174.5,78.4,25.5,65
176.1,77.5,19.4,70
174.9,104.5,17.5,117.5
181.8,96.3,16.8,110
176.1,103.5,20.3,112.5
164,70.3,15.3,52.5
171.1,121.3,13.4,145
170.7,58.8,15,37.5
192.4,90,19,105
188.1,83.8,23.7,87.5
185.9,76.8,17.6,80
174.9,86,22.4,80
171.8,50,12.7,25
174.9,54.4,24.2,25
169.5,69.1,26.9,45
205,66.6,14.4,80
157.5,89.7,27.8,67.5
185.6,106,21.8,125
167.2,78.9,17.6,67.5
179,101.7,21.9,112.5
170.1,84.3,23,72.5
168.2,62.7,23.4,35
168.6,80.1,22.6,65
197.5,72,19.8,80
178.7,97.4,30,97.5
172.3,101,17.4,107.5
185.6,104.2,20.5,122.5
180.1,101.6,15.1,117.5
187.2,81.8,16.8,90
161.8,87.3,25.6,70
183,92.5,15.9,105
187.7,65.6,25.1,55
163.4,78.1,16.9,62.5
184.5,131.9,21.8,150
197,67.1,26,65
179.9,78.2,24.1,70
188.2,56.6,14.6,50
186.7,64.5,29.3,50
172.9,76.2,20.2,65
180.4,89.2,14,97.5
164.3,77.7,20,60
175.5,58.8,18.2,40
182.7,72.7,23.3,65
187.2,61.3,19.5,52.5
180.2,108.2,15.1,130
187.2,87.3,21.5,95
169,76.4,16.4,65
179,63.4,23.6,45
180.2,70.8,24.4,57.5
198.5,69.3,19.7,75
177.9,83.9,16.1,85
175,76.6,13.7,72.5
180.2,58,16.5,42.5
170.8,114.4,22.7,125
181.9,60.1,12.9,50
176.3,80.1,14.3,80
162.1,84.4,22.1,67.5
179.4,69.4,18.9,60
176.8,55,19.3,32.5
163.7,71.6,30,40
179.3,63.8,13.2,55
194.9,111.4,22.4,142.5
185.2,95.7,28.9,100
186.1,50,24.7,27.5
166.6,91.6,17.4,87.5
184.8,82.1,22.9,82.5
181.5,69.3,12.2,67.5
185.3,50,21.5,30
184.2,89.2,17.1,100
166.4,68.8,20.5,47.5
179.6,63.7,10.8,57.5
172.4,73.2,19.6,60
179.5,81.2,27.4,72.5
171,50,27.1,20
193.1,103.5,17.5,130
171.4,75.1,11.9,67.5
171,62.3,19.5,40
180.7,84,18,87.5
169.2,81.2,16.1,72.5
175.8,50,29.7,20
171.7,50,22.3,20
194.1,72.7,16.9,80
187.9,50,22,32.5
179.4,61.4,21,45
176.1,50,19.3,22.5
189.4,62,19.6,55
184.1,85.7,30,82.5
185,118.4,19.1,147.5
179.7,76.8,16.2,75
163.1,69.4,18,47.5
178.9,50,18.9,27.5
174.7,80.3,24.6,70
186.5,61.8,22.4,50
190.1,76.7,12.7,87.5
173.4,71.4,24.1,52.5
184.7,67.9,17.2,62.5
197.4,63.9,18,67.5
173.3,106.2,17.6,117.5
196.8,55.7,16.8,52.5
171.5,79,24.5,65
180.2,66.6,23.2,52.5
179.9,65.3,27.9,45
180.1,108.3,22.9,122.5
171.6,102.3,16.9,110
174.1,56.2,22.5,30
173.3,84.7,22.4,77.5
183.3,75.5,25.6,67.5
183.3,84.9,19,90
202.3,82.2,22.8,97.5
193.7,84.7,26.1,92.5
174.9,69.5,17,57.5
183.2,50,17.3,32.5
190,75.1,19.8,77.5
180.3,55.1,24.1,32.5
179.3,89.4,20.9,92.5
180.5,64.9,23.2,50
188.7,91.2,23,100
171.5,106.7,10,125
176.7,94.6,21.6,97.5
184.7,115.9,28.9,135
183.1,85.9,17.1,92.5
182.4,94.4,26.5,97.5
176.3,98.8,30,97.5
189.7,67.8,23.2,62.5
201.3,90.2,19.4,112.5
184.1,113.4,17.8,140
178.1,115.1,28.8,127.5
187.6,104.3,16.3,127.5
174.6,97.9,26.7,97.5
172.5,62.2,14.4,45
180.3,52.7,20.3,30
154.2,75.8,23,45
168.5,67.8,15.6,50
176.5,76.6,14.4,72.5
166.5,83.3,19.5,72.5
169.7,77.2,25.5,60
175.6,87,19.4,85
163.6,59.5,16.1,32.5
175.9,82,18.6,77.5
174.6,76.1,12.5,72.5
180.3,95.1,21.4,102.5
191.5,81.8,26,85
181.7,70.7,10,72.5
180.2,70.3,20.8,60
181,101,20.4,112.5
182.3,50,15.2,32.5
169.8,88.3,22.1,80
178.9,84.7,18.9,85
183.1,97.3,17.5,112.5
166.3,78.3,21.9,60
188.7,52.8,22.4,37.5
190.8,87,21.3,97.5
173.7,93.7,13.2,100
177.6,73.7,12.3,70
171.2,83.8,21,75
187,88.2,13,102.5
169.4,91.4,15.4,92.5
177.8,91.4,17.2,97.5
171.4,112.4,10.3,132.5
180.5,76.8,16.2,75
162.1,77.9,19,60
193.3,56.9,14.5,55
170.4,92.2,29.8,82.5
180.6,65.7,22.5,52.5
177.9,50,21.1,22.5
172.4,96,23.7,95
171.1,65.5,27.9,37.5
189.4,83.4,19.9,90
174.7,63.3,16.2,47.5
182.7,105,23,120
172,61.8,23.9,37.5
173.5,50,22.9,20
184.7,76.9,21.4,75
189.3,73.2,13.9,80
178.2,76.8,20.4,70
165.8,76.3,23.7,55
200,69.1,22.9,72.5
171.4,108,25.4,112.5
164.6,100.8,22.6,97.5
205.9,75.1,23.9,87.5
176,138.9,24.9,150
165.4,58.6,20.8,27.5
173.2,54.2,22.2,25
183.7,89.3,13.4,102.5
181.9,100.6,12.4,120
171.5,76.1,22.4,62.5
198.2,88.1,18.6,107.5
174.8,96.4,27.8,95
168.2,67,21.9,42.5
189.6,104.9,18.4,130
193.3,86,24.7,95
171.8,103.4,24.6,107.5
166,67.3,26.5,37.5
190.3,60.1,22.2,50
159.5,101.9,17.3,100
167.7,107.8,30,105
189.7,75.7,22.3,77.5
179.4,80.1,16.4,80
177.4,81.1,18.3,77.5
183.5,86.1,18,92.5
178.5,90.3,19.8,95
167,79.8,25.7,60
192.8,78.1,22.3,82.5
193.3,85.9,18.9,100
182.1,106.3,25.9,120
180.5,89.7,17.4,97.5
203.4,62,16.1,70
177.2,65.6,15,55
177.4,76.8,19,70
183.6,89.7,23.9,92.5
194.7,57.9,21.8,50
195.9,81.7,18.2,95
177.4,91.4,18,95
183.1,85.4,25.3,85
166.2,89.6,25.2,77.5
176.9,65.7,27.4,45
171.6,84,11.5,85
169.9,63.3,14.6,45
196.8,65.6,11.9,75
172.1,90.5,20.7,87.5
174.7,80.2,18.2,75
183.7,88.9,24.4,92.5
193,89.5,22.5,102.5
184.8,69.2,20.4,62.5
207.6,113.1,14,150
179.3,74.1,19.3,67.5
182.6,70.2,21.6,62.5
182.8,105.5,20,122.5
194.4,103.6,15.3,132.5
185.1,76,21.4,72.5
178.8,89.7,18.4,95
170.5,50,22,20
182.4,85.8,15.2,92.5
194,92.2,15.5,115
175.9,50,21.7,22.5
185.3,106.3,24.4,122.5
182.5,92.7,23.2,97.5
188.6,71.6,23.9,67.5
172,70.2,25.6,50
203.5,92.1,10.3,125
167.2,99,17.8,100
176.3,67.2,30,45
189.4,110,15.6,140
183,50,14.9,32.5
188.3,61.5,28.1,45
175,50,16.4,25
179.3,111.1,20,130
180.1,102.2,23.2,112.5
195.7,88.2,25.9,100
186.9,87.1,19.4,95
188,80.5,24.2,82.5
173.4,102.9,26.4,105
189.7,112.8,19.2,142.5
182.3,82.1,15.2,87.5
193.9,103.8,28.4,122.5
200.1,66,23.3,67.5
176.9,71.9,16.7,65
175.9,102.8,25.3,107.5
171.4,97,24.8,95
178.6,63.4,26.3,42.5
176.2,104.3,18.8,117.5
